Rank,Country,Crime Index
1,Venezuela,82.59
2,Papua New Guinea,79.95
3,Honduras,78.89
4,South Africa,75.71
5,Trinidad And Tobago,72.22
6,Brazil,70.55
7,El Salvador,69.72
8,Bangladesh,68.52
9,Namibia,68.22
10,Syria,67.74
11,Jamaica,66.87
12,Puerto Rico,64.94
13,Peru,63.91
14,Nigeria,63.12
15,Malaysia,63.05
16,Mongolia,62.56
17,Argentina,61.79
18,Dominican Republic,61.53
19,Tanzania,59.83
20,Kenya,59.77
21,Guatemala,59.35
22,Libya,56.74
23,Zimbabwe,54.56
24,Cambodia,54.38
25,Costa Rica,53.89
26,Egypt,53.72
27,Bolivia,52.89
28,Vietnam,52.22
29,Uruguay,51.83
30,Maldives,51.7
31,Pakistan,51.23
32,Mexico,51.05
33,Algeria,50.68
34,Colombia,50.66
35,United States,49.58
36,Iran,49.4
37,Ukraine,49.39
38,Sweden,49.26
39,Ecuador,49.18
40,Lebanon,49.16
41,Kazakhstan,49.15
42,Morocco,48.51
43,Panama,48.35
44,Mauritius,48.31
45,Ethiopia,47.67
46,Thailand,47.25
47,Chile,46.48
48,Moldova,45.66
49,France,45.29
50,Russia,45.2
51,Ghana,45
52,Indonesia,44.72
53,Jordan,44.55
54,Italy,44.53
55,India,44.16
56,Ireland,43.82
57,Iraq,43.34
58,Norway,43.33
59,Australia,42.55
60,Belgium,42.17
61,Sri Lanka,41.75
62,United Kingdom,41.2
63,Turkey,41.06
64,Tunisia,40.43
65,North Macedonia,40.21
66,Philippines,40.13
67,Bosnia And Herzegovina,40.05
68,Albania,39.87
69,Bulgaria,39.7
70,Nepal,39.51
71,China,39.44
72,Canada,39.28
73,New Zealand,39.15
74,Greece,39.07
75,Palestine,37.95
76,Serbia,37.76
77,Lithuania,37.59
78,Montenegro,37.51
79,Kuwait,37.03
80,Bahrain,36.96
81,Israel,36.9
82,Latvia,36.89
83,Spain,36.74
84,Saudi Arabia,36.69
85,Germany,36.65
86,Hungary,36.51
87,Poland,36.23
88,South Korea,35.83
89,Portugal,34.54
90,Luxembourg,32.12
91,Malta,31.93
92,Azerbaijan,30.52
93,Cyprus,30.18
94,Slovakia,30.15
95,Romania,29.04
96,Netherlands,28.94
97,Czech Republic,28.81
98,Armenia,28.28
99,Oman,27.37
100,Croatia,27
101,Belarus,26.55
102,Slovenia,24.71
103,Iceland,24.49
104,Finland,23.7
105,Denmark,22.02
106,Switzerland,21.76
107,Hong Kong,20.9
108,Estonia,20.83
109,Taiwan,20.74
110,Austria,20.41
111,Georgia,20.35
112,United Arab Emirates,18.75
113,Singapore,16.23
114,Qatar,15.7
115,Japan,13.1
