,Happiness_Rank,Country,Region,Happiness_Score,GDP_hscore,LifeExp_hscore,Freedom_hscore,Generosity_hscore,Corruption_hscore,Year,Actual_CrimeRate,Actual_GDP,Actual_LifeExp
0,153,Afghanistan,South Asia,3.575,0.31982,0.30335,0.23414,0.3651,0.09719,2015,77.34,578.4663529,578.4663529
1,154,Afghanistan,South Asia,3.36,0.38227,0.17344,0.1643,0.31268,0.07112,2016,,509.2201005,509.2201005
2,141,Afghanistan,South Asia,3.79399991,0.401477218,0.180746779,0.10617952,0.311870933,0.06115783,2017,73.85,519.8889126,519.8889126
3,145,Afghanistan,South Asia,3.632,0.332,0.255,0.085,0.191,0.036,2018,,493.7565814,493.7565814
4,154,Afghanistan,South Asia,3.203,0.35,0.361,0.0,0.158,0.025,2019,76.63,507.1033919,507.1033919
5,144,Afghanistan,South Asia,2.566900015,0.30070585,0.266051531,0.0,0.135234714,0.001225785,2020,76.23,508.8084095,508.8084095
6,95,Albania,Central and Eastern Europe,4.959,0.87867,0.81325,0.35733,0.14272,0.06413,2015,49.6,3952.801215,3952.801215
7,109,Albania,Central and Eastern Europe,4.655,0.9553,0.73007,0.31866,0.1684,0.05301,2016,48.15,4124.055726,4124.055726
8,109,Albania,Central and Eastern Europe,4.644000053,0.996192753,0.731159747,0.381498635,0.201312944,0.039864216,2017,44.27,4531.020806,4531.020806
9,112,Albania,Central and Eastern Europe,4.586,0.916,0.79,0.419,0.149,0.032,2018,39.87,5284.380184,5284.380184
10,107,Albania,Central and Eastern Europe,4.719,0.947,0.874,0.383,0.178,0.027,2019,40.3,5355.847795,5355.847795
11,103,Albania,Central and Eastern Europe,4.882699966,0.906653047,0.846329629,0.461945891,0.171027765,0.025361285,2020,39.52,5215.276752,5215.276752
12,68,Algeria,Middle East and North Africa,5.605,0.93929,0.61766,0.28579,0.07822,0.17383,2015,51.34,4177.886892,4177.886892
13,38,Algeria,Middle East and North Africa,6.355,1.05266,0.61804,0.21006,0.07044,0.16157,2016,57.58,3946.452425,3946.452425
14,53,Algeria,Middle East and North Africa,5.872000217,1.091864467,0.617584646,0.233335808,0.069436647,0.14609611,2017,49.63,4109.703442,4109.703442
15,84,Algeria,Middle East and North Africa,5.295,0.979,0.687,0.077,0.055,0.135,2018,50.68,4153.956234,4153.956234
16,88,Algeria,Middle East and North Africa,5.211,1.002,0.785,0.086,0.073,0.114,2019,48.33,3975.508993,3975.508993
17,99,Algeria,Middle East and North Africa,5.005099773,0.943856001,0.745418549,0.083943799,0.118915014,0.129190654,2020,49.81,3310.386534,3310.386534
18,30,Argentina,Latin America and Caribbean,6.574,1.05351,0.78723,0.44974,0.11451,0.08484,2015,62.4,13789.06042,13789.06042
19,26,Argentina,Latin America and Caribbean,6.65,1.15137,0.69711,0.42284,0.10989,0.07296,2016,63.28,12790.24247,12790.24247
20,24,Argentina,Latin America and Caribbean,6.598999977,1.185295463,0.695137084,0.494519204,0.109457061,0.059739888,2017,62.63,14613.04182,14613.04182
21,29,Argentina,Latin America and Caribbean,6.388,1.073,0.744,0.57,0.062,0.054,2018,61.79,11633.49801,11633.49801
22,47,Argentina,Latin America and Caribbean,6.086,1.092,0.881,0.471,0.066,0.05,2019,62.55,9912.281809,9912.281809
23,55,Argentina,Latin America and Caribbean,5.974699974,1.028465629,0.849773705,0.520840347,0.070100471,0.060415059,2020,61.77,8441.919439,8441.919439
24,127,Armenia,Commonwealth of Independent States,4.35,0.76821,0.7299,0.19847,0.07855,0.039,2015,29.14,3607.289299,3607.289299
25,121,Armenia,Commonwealth of Independent States,4.36,0.86086,0.64083,0.14037,0.07793,0.03616,2016,31.11,3591.828052,3591.828052
26,121,Armenia,Commonwealth of Independent States,4.375999928,0.900596738,0.637524426,0.198303267,0.083488092,0.026674422,2017,27.08,3914.527854,3914.527854
27,129,Armenia,Commonwealth of Independent States,4.321,0.816,0.666,0.26,0.077,0.028,2018,28.28,4220.540321,4220.540321
28,116,Armenia,Commonwealth of Independent States,4.559,0.85,0.815,0.283,0.095,0.064,2019,22.0,4622.738182,4622.738182
29,113,Armenia,Commonwealth of Independent States,4.676799774,0.808262408,0.77585727,0.378075808,0.107225738,0.104618184,2020,21.6,4267.452119,4267.452119
30,10,Australia,North America and ANZ,7.284,1.33358,0.93156,0.65124,0.43562,0.35637,2015,42.16,56755.72171,56755.72171
31,9,Australia,North America and ANZ,7.313,1.44443,0.8512,0.56837,0.47407,0.32331,2016,43.12,49971.13146,49971.13146
32,10,Australia,North America and ANZ,7.28399992,1.484414935,0.843886793,0.601607382,0.47769925,0.30118373,2017,42.42,54027.96682,54027.96682
33,10,Australia,North America and ANZ,7.272,1.34,0.91,0.647,0.361,0.302,2018,42.55,57354.96405,57354.96405
34,11,Australia,North America and ANZ,7.228,1.372,1.036,0.557,0.332,0.29,2019,42.76,55057.2047,55057.2047
35,12,Australia,North America and ANZ,7.222799778,1.310396433,1.022607684,0.621877193,0.324973613,0.335996419,2020,41.36,51812.15404,51812.15404
36,13,Austria,Western Europe,7.2,1.33723,0.89042,0.62433,0.33088,0.18676,2015,26.25,44178.04738,44178.04738
37,12,Austria,Western Europe,7.119,1.45038,0.80565,0.54355,0.32865,0.21348,2016,24.06,45276.83144,45276.83144
38,13,Austria,Western Europe,7.006000042,1.487097263,0.815328419,0.56776619,0.316472322,0.221060365,2017,19.25,47309.36627,47309.36627
39,12,Austria,Western Europe,7.139,1.341,0.891,0.617,0.242,0.224,2018,20.41,51453.14702,51453.14702
40,10,Austria,Western Europe,7.246,1.376,1.016,0.532,0.244,0.226,2019,21.37,50121.55421,50121.55421
41,9,Austria,Western Europe,7.294199944,1.317285538,1.000933528,0.603368878,0.255509764,0.281256139,2020,23.73,48105.36462,48105.36462
42,80,Azerbaijan,Commonwealth of Independent States,5.212,1.02389,0.64045,0.3703,0.07799,0.16065,2015,35.47,5500.310382,5500.310382
43,81,Azerbaijan,Commonwealth of Independent States,5.291,1.12373,0.54504,0.35327,0.0564,0.17914,2016,32.39,3880.738731,3880.738731
44,85,Azerbaijan,Commonwealth of Independent States,5.234000206,1.153601766,0.540775776,0.398155838,0.04526934,0.180987507,2017,27.05,4147.089716,4147.089716
45,87,Azerbaijan,Commonwealth of Independent States,5.201,1.024,0.603,0.43,0.031,0.176,2018,30.52,4739.84171,4739.84171
46,90,Azerbaijan,Commonwealth of Independent States,5.208,1.043,0.769,0.351,0.035,0.182,2019,31.67,4805.753718,4805.753718
47,88,Azerbaijan,Commonwealth of Independent States,5.164800167,0.990272701,0.731134057,0.467734724,0.040113214,0.247307181,2020,31.61,4214.311336,4214.311336
48,49,Bahrain,Middle East and North Africa,5.96,1.32376,0.74716,0.45492,0.17362,0.306,2015,39.97,22634.08565,22634.08565
49,42,Bahrain,Middle East and North Africa,6.218,1.44024,0.65696,0.47375,0.17147,0.25772,2016,37.26,22608.45256,22608.45256
50,41,Bahrain,Middle East and North Africa,6.086999893,1.488412261,0.653133035,0.536746919,0.172668487,0.25704217,2017,35.35,23742.93734,23742.93734
51,43,Bahrain,Middle East and North Africa,6.105,1.338,0.698,0.594,0.243,0.123,2018,36.96,23991.04139,23991.04139
52,37,Bahrain,Middle East and North Africa,6.199,1.362,0.871,0.536,0.255,0.11,2019,32.87,23443.43483,23443.43483
53,40,Bahrain,Middle East and North Africa,6.227300167,1.296692252,0.838836372,0.610399902,0.287453711,0.126697257,2020,29.29,..,..
54,109,Bangladesh,South Asia,4.694,0.39753,0.60164,0.4082,0.21222,0.12569,2015,64.25,1248.45331,1248.45331
55,110,Bangladesh,South Asia,4.643,0.54177,0.52989,0.39778,0.19132,0.12583,2016,68.56,1401.564635,1401.564635
56,110,Bangladesh,South Asia,4.607999802,0.586682975,0.533241034,0.478356659,0.172255352,0.123717859,2017,67.24,1563.767819,1563.767819
57,115,Bangladesh,South Asia,4.5,0.532,0.579,0.58,0.153,0.144,2018,68.52,1698.132081,1698.132081
58,125,Bangladesh,South Asia,4.456,0.562,0.723,0.527,0.166,0.143,2019,65.82,1855.69151,1855.69151
59,105,Bangladesh,South Asia,4.832799911,0.556156278,0.694940507,0.604130566,0.176745117,0.176735908,2020,63.94,1968.792225,1968.792225
60,59,Belarus,Commonwealth of Independent States,5.813,1.03192,0.73608,0.37938,0.11046,0.1909,2015,30.5,5949.106307,5949.106307
61,61,Belarus,Commonwealth of Independent States,5.802,1.13062,0.63104,0.29091,0.13942,0.17457,2016,27.57,5022.626643,5022.626643
62,67,Belarus,Commonwealth of Independent States,5.568999767,1.15655756,0.637714267,0.295400262,0.155137509,0.156313822,2017,22.26,5761.74712,5761.74712
63,73,Belarus,Commonwealth of Independent States,5.483,1.039,0.7,0.307,0.101,0.154,2018,26.55,6330.075246,6330.075246
64,81,Belarus,Commonwealth of Independent States,5.323,1.067,0.789,0.235,0.094,0.142,2019,23.53,6839.103833,6839.103833
65,75,Belarus,Commonwealth of Independent States,5.539899826,1.018854499,0.75258857,0.290755868,0.08993306,0.193607435,2020,24.99,6411.227813,6411.227813
66,19,Belgium,Western Europe,6.937,1.30782,0.89667,0.5845,0.2225,0.2254,2015,42.04,40991.80814,40991.80814
67,18,Belgium,Western Europe,6.929,1.42539,0.81959,0.51354,0.2424,0.26248,2016,45.19,41984.10303,41984.10303
68,17,Belgium,Western Europe,6.890999794,1.463780761,0.818091869,0.539770722,0.231503338,0.251343131,2017,44.51,44089.31009,44089.31009
69,16,Belgium,Western Europe,6.927,1.324,0.894,0.583,0.188,0.24,2018,42.17,47554.74631,47554.74631
70,18,Belgium,Western Europe,6.923,1.356,0.986,0.473,0.16,0.21,2019,42.46,46414.43523,46414.43523
71,20,Belgium,Western Europe,6.863500118,1.295842767,0.964901149,0.499805421,0.146966159,0.208724052,2020,43.98,44594.37811,44594.37811
72,155,Benin,Sub-Saharan Africa,3.34,0.28665,0.3191,0.4845,0.1826,0.0801,2015,,1076.796702,1076.796702
73,153,Benin,Sub-Saharan Africa,3.484,0.39499,0.21028,0.39747,0.2018,0.06681,2016,,1087.287304,1087.287304
74,143,Benin,Sub-Saharan Africa,3.657000065,0.431085408,0.209930211,0.425962776,0.207948461,0.060929015,2017,,1136.59397,1136.59397
75,136,Benin,Sub-Saharan Africa,4.141,0.378,0.24,0.44,0.163,0.067,2018,,1240.830962,1240.830962
76,102,Benin,Sub-Saharan Africa,4.883,0.393,0.397,0.349,0.175,0.082,2019,,1219.515479,1219.515479
77,86,Benin,Sub-Saharan Africa,5.21600008,0.366244704,0.328062952,0.40583989,0.196670428,0.125931874,2020,,1291.040962,1291.040962
78,51,Bolivia,Latin America and Caribbean,5.89,0.68133,0.5392,0.57414,0.20536,0.088,2015,65.6,3035.971655,3035.971655
79,59,Bolivia,Latin America and Caribbean,5.822,0.79422,0.4697,0.50961,0.21698,0.07746,2016,56.56,3076.656439,3076.656439
80,58,Bolivia,Latin America and Caribbean,5.822999954,0.833756566,0.47363025,0.558732927,0.225560725,0.060477726,2017,59.5,3351.124344,3351.124344
