year,rank,country,region,happiness_score
2015,1,Switzerland,Western Europe,7.587
2015,2,Iceland,Western Europe,7.561
2015,3,Denmark,Western Europe,7.527
2015,4,Norway,Western Europe,7.522
2015,5,Canada,North America and ANZ,7.427
2015,6,Finland,Western Europe,7.406
2015,7,Netherlands,Western Europe,7.378
2015,8,Sweden,Western Europe,7.364
2015,9,New Zealand,North America and ANZ,7.286
2015,10,Australia,North America and ANZ,7.284
2015,11,Israel,Middle East and North Africa,7.278
2015,12,Costa Rica,Latin America and Caribbean,7.226
2015,13,Austria,Western Europe,7.2
2015,14,Mexico,Latin America and Caribbean,7.187
2015,15,United States of America,North America and ANZ,7.119
2015,16,Brazil,Latin America and Caribbean,6.983
2015,17,Luxembourg,Western Europe,6.946
2015,18,Ireland,Western Europe,6.94
2015,19,Belgium,Western Europe,6.937
2015,20,United Arab Emirates,Middle East and North Africa,6.901
2015,21,United Kingdom,Western Europe,6.867
2015,22,Venezuela,Latin America and Caribbean,6.81
2015,23,Singapore,Southeast Asia,6.798
2015,24,Panama,Latin America and Caribbean,6.786
2015,25,Germany,Western Europe,6.75
2015,26,Chile,Latin America and Caribbean,6.67
2015,27,France,Western Europe,6.575
2015,28,Argentina,Latin America and Caribbean,6.574
2015,29,Czech Republic,Central and Eastern Europe,6.505
2015,30,Uruguay,Latin America and Caribbean,6.485
2015,31,Colombia,Latin America and Caribbean,6.477
2015,32,Thailand,Southeast Asia,6.455
2015,33,Saudi Arabia,Middle East and North Africa,6.411
2015,34,Spain,Western Europe,6.329
2015,35,Malta,Western Europe,6.302
2015,36,Taiwan,East Asia,6.298
2015,37,Kuwait,Middle East and North Africa,6.295
2015,38,Trinidad and Tobago,Latin America and Caribbean,6.168
2015,39,El Salvador,Latin America and Caribbean,6.13
2015,40,Guatemala,Latin America and Caribbean,6.123
2015,41,Uzbekistan,Commonwealth of Independent States,6.003
2015,42,Slovakia,Central and Eastern Europe,5.995
2015,43,Japan,East Asia,5.987
2015,44,South Korea,East Asia,5.984
2015,45,Ecuador,Latin America and Caribbean,5.975
2015,46,Bahrain,Middle East and North Africa,5.96
2015,47,Italy,Western Europe,5.948
2015,48,Bolivia,Latin America and Caribbean,5.89
2015,49,Moldova,Commonwealth of Independent States,5.889
2015,50,Paraguay,Latin America and Caribbean,5.878
2016,1,Denmark,Western Europe,7.526
2016,2,Switzerland,Western Europe,7.509
2016,3,Iceland,Western Europe,7.501
2016,4,Norway,Western Europe,7.498
2016,5,Finland,Western Europe,7.413
2016,6,Canada,North America and ANZ,7.404
2016,7,Netherlands,Western Europe,7.339
2016,8,New Zealand,North America and ANZ,7.334
2016,9,Australia,North America and ANZ,7.313
2016,10,Sweden,Western Europe,7.291
2016,11,Israel,Middle East and North Africa,7.267
2016,12,Austria,Western Europe,7.119
2016,13,United States of America,North America and ANZ,7.104
2016,14,Costa Rica,Latin America and Caribbean,7.087
2016,15,Germany,Western Europe,6.994
2016,16,Brazil,Latin America and Caribbean,6.952
2016,17,Belgium,Western Europe,6.929
2016,18,Ireland,Western Europe,6.907
2016,19,Luxembourg,Western Europe,6.871
2016,20,Mexico,Latin America and Caribbean,6.778
2016,21,Singapore,Southeast Asia,6.739
2016,22,United Kingdom,Western Europe,6.725
2016,23,Chile,Latin America and Caribbean,6.705
2016,24,Panama,Latin America and Caribbean,6.701
2016,25,Argentina,Latin America and Caribbean,6.65
2016,26,Czech Republic,Central and Eastern Europe,6.596
2016,27,United Arab Emirates,Middle East and North Africa,6.573
2016,28,Uruguay,Latin America and Caribbean,6.545
2016,29,Malta,Western Europe,6.488
2016,30,Colombia,Latin America and Caribbean,6.481
2016,31,France,Western Europe,6.478
2016,32,Thailand,Southeast Asia,6.474
2016,33,Taiwan,East Asia,6.379
2016,34,Saudi Arabia,Middle East and North Africa,6.379
2016,35,Spain,Western Europe,6.361
2016,36,Algeria,Middle East and North Africa,6.355
2016,37,Guatemala,Latin America and Caribbean,6.324
2016,38,Kuwait,Middle East and North Africa,6.239
2016,39,Bahrain,Middle East and North Africa,6.218
2016,40,Trinidad and Tobago,Latin America and Caribbean,6.168
2016,41,Venezuela,Latin America and Caribbean,6.084
2016,42,Slovakia,Central and Eastern Europe,6.078
2016,43,El Salvador,Latin America and Caribbean,6.068
2016,44,Malaysia,Southeast Asia,6.005
2016,45,Nicaragua,Latin America and Caribbean,5.992
2016,46,Uzbekistan,Commonwealth of Independent States,5.987
2016,47,Italy,Western Europe,5.977
2016,48,Ecuador,Latin America and Caribbean,5.976
2016,49,Japan,East Asia,5.921
2016,50,Kazakhstan,Commonwealth of Independent States,5.919
2017,1,Norway,Western Europe,7.537000179
2017,2,Denmark,Western Europe,7.521999836
2017,3,Iceland,Western Europe,7.504000187
2017,4,Switzerland,Western Europe,7.493999958
2017,5,Finland,Western Europe,7.468999863
2017,6,Netherlands,Western Europe,7.376999855
2017,7,Canada,North America and ANZ,7.315999985
2017,8,New Zealand,North America and ANZ,7.31400013
2017,9,Sweden,Western Europe,7.28399992
2017,10,Australia,North America and ANZ,7.28399992
2017,11,Israel,Middle East and North Africa,7.212999821
2017,12,Costa Rica,Latin America and Caribbean,7.078999996
2017,13,Austria,Western Europe,7.006000042
2017,14,United States of America,North America and ANZ,6.993000031
2017,15,Ireland,Western Europe,6.977000237
2017,16,Germany,Western Europe,6.951000214
2017,17,Belgium,Western Europe,6.890999794
2017,18,Luxembourg,Western Europe,6.862999916
2017,19,United Kingdom,Western Europe,6.714000225
2017,20,Chile,Latin America and Caribbean,6.65199995
2017,21,United Arab Emirates,Middle East and North Africa,6.647999763
2017,22,Brazil,Latin America and Caribbean,6.635000229
2017,23,Czech Republic,Central and Eastern Europe,6.609000206
2017,24,Argentina,Latin America and Caribbean,6.598999977
2017,25,Mexico,Latin America and Caribbean,6.578000069
2017,26,Singapore,Southeast Asia,6.572000027
2017,27,Malta,Western Europe,6.52699995
2017,28,Guatemala,Latin America and Caribbean,6.453999996
2017,29,Uruguay,Latin America and Caribbean,6.453999996
2017,30,Panama,Latin America and Caribbean,6.452000141
2017,31,France,Western Europe,6.441999912
2017,32,Thailand,Southeast Asia,6.423999786
2017,33,Taiwan,East Asia,6.421999931
2017,34,Spain,Western Europe,6.402999878
2017,35,Colombia,Latin America and Caribbean,6.356999874
2017,36,Saudi Arabia,Middle East and North Africa,6.343999863
2017,37,Trinidad and Tobago,Latin America and Caribbean,6.168000221
2017,38,Kuwait,Middle East and North Africa,6.105000019
2017,39,Slovakia,Central and Eastern Europe,6.09800005
2017,40,Bahrain,Middle East and North Africa,6.086999893
2017,41,Malaysia,Southeast Asia,6.084000111
2017,42,Nicaragua,Latin America and Caribbean,6.071000099
2017,43,Ecuador,Latin America and Caribbean,6.007999897
2017,44,El Salvador,Latin America and Caribbean,6.002999783
2017,45,Poland,Central and Eastern Europe,5.97300005
2017,46,Uzbekistan,Commonwealth of Independent States,5.971000195
2017,47,Italy,Western Europe,5.964000225
2017,48,Russia,Commonwealth of Independent States,5.962999821
2017,49,Japan,East Asia,5.920000076
2017,50,Lithuania,Central and Eastern Europe,5.90199995
2018,1,Finland,Western Europe,7.632
2018,2,Norway,Western Europe,7.594
2018,3,Denmark,Western Europe,7.555
2018,4,Iceland,Western Europe,7.495
2018,5,Switzerland,Western Europe,7.487
2018,6,Netherlands,Western Europe,7.441
2018,7,Canada,North America and ANZ,7.328
2018,8,New Zealand,North America and ANZ,7.324
2018,9,Sweden,Western Europe,7.314
2018,10,Australia,North America and ANZ,7.272
2018,11,United Kingdom,Western Europe,7.19
2018,12,Austria,Western Europe,7.139
2018,13,Costa Rica,Latin America and Caribbean,7.072
2018,14,Ireland,Western Europe,6.977
2018,15,Germany,Western Europe,6.965
2018,16,Belgium,Western Europe,6.927
2018,17,Luxembourg,Western Europe,6.91
2018,18,United States of America,North America and ANZ,6.886
2018,19,Israel,Middle East and North Africa,6.814
2018,20,United Arab Emirates,Middle East and North Africa,6.774
2018,21,Czech Republic,Central and Eastern Europe,6.711
2018,22,Malta,Western Europe,6.627
2018,23,France,Western Europe,6.489
2018,24,Mexico,Latin America and Caribbean,6.488
2018,25,Chile,Latin America and Caribbean,6.476
2018,26,Taiwan,East Asia,6.441
2018,27,Panama,Latin America and Caribbean,6.43
2018,28,Brazil,Latin America and Caribbean,6.419
