Country Name,2015,2016,2017,2018,2019,2020
Afghanistan,578.4663529,509.2201005,519.8889126,493.7565814,507.1033919,508.8084095
Albania,3952.801215,4124.055726,4531.020806,5284.380184,5355.847795,5215.276752
Algeria,4177.886892,3946.452425,4109.703442,4153.956234,3975.508993,3310.386534
American Samoa,12059.63516,12038.2497,11003.82976,11557.67116,11534.56754,..
Andorra,35770.7767,37475.63506,38964.90448,41791.96984,40897.33087,..
Angola,4166.979833,3506.073128,4095.810057,3289.643995,2809.626088,1895.770869
Antigua and Barbuda,14285.32978,15198.74297,15383.5764,16673.4369,17113.34977,14449.99652
Argentina,13789.06042,12790.24247,14613.04182,11633.49801,9912.281809,8441.919439
Armenia,3607.289299,3591.828052,3914.527854,4220.540321,4622.738182,4267.452119
Aruba,28396.90842,28452.17061,29350.80502,30253.27936,..,..
Australia,56755.72171,49971.13146,54027.96682,57354.96405,55057.2047,51812.15404
Austria,44178.04738,45276.83144,47309.36627,51453.14702,50121.55421,48105.36462
Azerbaijan,5500.310382,3880.738731,4147.089716,4739.84171,4805.753718,4214.311336
"Bahamas, The",31295.56387,31563.30787,32719.66659,33767.94119,34863.38405,28607.90138
Bahrain,22634.08565,22608.45256,23742.93734,23991.04139,23443.43483,..
Bangladesh,1248.45331,1401.564635,1563.767819,1698.132081,1855.69151,1968.792225
Barbados,16524.8995,16900.04829,17391.66891,17745.25537,18148.49785,15191.16404
Belarus,5949.106307,5022.626643,5761.74712,6330.075246,6839.103833,6411.227813
Belgium,40991.80814,41984.10303,44089.31009,47554.74631,46414.43523,44594.37811
Belize,4770.232656,4856.973249,4945.857699,5001.422157,5078.809944,4435.621154
Benin,1076.796702,1087.287304,1136.59397,1240.830962,1219.515479,1291.040962
Bermuda,102005.6256,106885.8785,111820.5815,113023.1856,117098.4463,..
Bhutan,2752.630172,2930.574923,3286.596744,3243.477437,3316.167022,3122.376062
Bolivia,3035.971655,3076.656439,3351.124344,3548.59078,3552.068144,3143.045494
Bosnia and Herzegovina,4727.276333,4994.68904,5394.579953,6072.184623,6120.112626,6031.556869
Botswana,6799.870178,7243.933974,7893.418671,8279.818457,7970.796968,6710.990411
Brazil,8814.001418,8710.096774,9928.643063,9151.445253,8897.48777,6796.844542
British Virgin Islands,..,..,..,..,..,..
Brunei Darussalam,31164.03625,27158.40565,28571.60829,31628.47626,31085.96189,27466.33964
Bulgaria,7055.935673,7548.855007,8334.081728,9427.73043,9828.148515,9975.780001
Burkina Faso,653.3272681,688.2506963,734.996268,813.0996894,786.8954377,830.9251446
Burundi,305.549646,282.1930285,292.9980095,271.7524964,261.2452912,274.0095232
Cabo Verde,3043.031382,3130.998753,3292.633503,3617.347445,3603.775241,3064.272388
Cambodia,1162.904995,1269.591499,1385.260066,1512.126989,1643.121389,1512.727753
Cameroon,1327.502561,1364.32954,1425.106368,1534.492241,1507.449798,1499.372843
Canada,43596.13554,42315.60371,45129.35644,46454.74339,46326.67264,43241.61783
Cayman Islands,76284.19393,78471.62873,81513.16302,86059.73922,91392.64259,..
Central African Republic,377.422919,402.1916349,450.900697,475.9538495,467.9080218,476.8511127
Chad,776.0197523,693.4497674,665.9488849,726.1510071,709.5400432,614.4651899
Channel Islands,..,..,..,..,..,..
Chile,13574.16924,13753.59215,14998.81706,15888.14436,14741.7144,13231.70421
China,8066.942635,8147.937705,8879.438667,9976.677137,10216.63033,10500.39562
Colombia,6175.87603,5870.777957,6376.706716,6729.583332,6424.979492,5332.773524
Comoros,1242.585682,1273.05092,1323.814958,1415.955164,1370.140123,1402.595489
"Congo, Dem. Rep.",497.3170391,471.3188225,467.0742317,557.0644117,580.7168605,556.8131853
"Congo, Rep.",2447.539308,2039.453223,2173.680253,2601.410483,2359.177309,1972.545246
Costa Rica,11642.77805,12011.22275,12225.57449,12468.57529,12669.70608,12076.81451
Cote d'Ivoire,1972.545683,2013.381448,2111.026557,2314.050958,2276.332394,2325.723705
Croatia,11781.73479,12361.48383,13451.62495,15014.08502,14944.35622,13828.4695
Cuba,7694.014637,8060.796598,8541.213686,8824.194008,9099.673146,..
Curacao,19951.3279,19555.36585,19457.53152,19630.89349,19701.27038,..
Cyprus,23408.33668,24605.92083,26444.07438,29089.47133,28288.46158,26623.80089
Czech Republic,17829.69832,18575.23203,20636.19995,23419.73561,23490.39846,22762.19714
Denmark,53254.85637,54663.99837,57610.09818,61598.5367,60213.09215,60908.83513
Djibouti,2658.964207,2802.181971,2914.374595,3141.879389,3414.935393,3425.50345
Dominica,7597.288894,8080.968623,7274.517731,7693.771453,8001.997095,6526.793215
Dominican Republic,6921.520594,7280.88361,7609.353275,8050.644076,8282.117131,7268.19691
Ecuador,6124.490887,6060.092962,6213.503127,6295.934662,6222.524653,5600.389615
"Egypt, Arab Rep.",3562.932658,3519.87324,2444.290387,2537.125185,3019.092283,3547.870848
El Salvador,3705.579704,3805.995686,3910.255969,4052.624775,4167.730939,3798.636521
Equatorial Guinea,11283.39805,9250.316493,9667.857801,10005.61679,8419.933336,7143.238705
Eritrea,..,..,..,..,..,..
Estonia,17522.23019,18437.25282,20407.92738,23159.39249,23717.79945,23312.27633
Eswatini,3679.819798,3425.528759,3914.421839,4105.897212,3894.66963,3415.459446
Ethiopia,640.5419231,717.1248698,768.5230154,771.5248663,855.7608852,936.3404611
Faroe Islands,52400.29728,56854.10265,59993.09063,62918.14619,64225.2649,..
Fiji,5390.714207,5651.272721,6101.02389,6317.437799,6175.874841,4881.526069
Finland,42784.69836,43784.28396,46297.49635,50013.2942,48711.56421,49041.34226
France,36638.18493,37037.37419,38685.25849,41526.41466,40380.09877,38625.06738
French Polynesia,..,..,..,..,..,..
Gabon,7384.700704,6984.419712,7230.434912,7956.627816,7767.016979,7005.879097
"Gambia, The",660.7235712,690.7804932,679.7550717,732.7207273,777.8152452,787.0064509
Georgia,4014.185944,4062.169888,4357.000936,4722.787783,4697.983652,4278.860771
Germany,41086.72967,42107.51727,44442.77184,47787.16051,46467.5162,45723.6441
Ghana,1705.575082,1913.473536,2020.68179,2194.232477,2210.355923,2328.534642
Gibraltar,..,..,..,..,..,..
Greece,18050.09761,17885.39281,18562.22943,19765.99645,19150.7862,17676.19248
Greenland,44536.40131,48181.87419,50321.36875,54470.95639,..,..
Grenada,9096.538652,9628.172843,10152.83281,10486.37759,10815.91136,9680.175825
Guam,35829.25036,36214.00692,36601.91988,36502.38282,37723.78134,..
Guatemala,3994.636913,4173.301666,4454.04815,4478.424646,4638.634943,4603.339617
Guinea,769.2554754,732.2915119,855.5752706,955.1112811,1058.143368,1194.037865
Guinea-Bissau,603.3993815,661.4578387,738.5499449,802.7673851,749.453747,727.5201717
Guyana,5576.82607,5811.397924,6124.95367,6145.818743,6609.510431,6955.939217
