Country Name,2015,2016,2017,2018,2019,2020
Afghanistan,63.377,63.763,64.13,64.486,64.833,..
Albania,78.025,78.194,78.333,78.458,78.573,..
Algeria,76.09,76.298,76.499,76.693,76.88,..
American Samoa,..,..,..,..,..,..
Andorra,..,..,..,..,..,..
Angola,59.398,59.925,60.379,60.782,61.147,..
Antigua and Barbuda,76.483,76.617,76.752,76.885,77.016,..
Argentina,76.068,76.221,76.372,76.52,76.667,..
Armenia,74.467,74.64,74.797,74.945,75.087,..
Aruba,75.725,75.868,76.01,76.152,76.293,..
Australia,82.4,82.44878049,82.5,82.74878049,82.9,..
Austria,81.1902439,81.64146341,81.64390244,81.69268293,81.79268293,..
Azerbaijan,72.266,72.493,72.693,72.864,73.005,..
"Bahamas, The",73.088,73.329,73.554,73.752,73.918,..
Bahrain,76.762,76.899,77.032,77.163,77.292,..
Bangladesh,71.514,71.785,72.052,72.32,72.591,..
Barbados,78.801,78.888,78.981,79.081,79.19,..
Belarus,73.62439024,73.82682927,74.12926829,74.17560976,74.22682927,..
Belgium,80.99268293,81.43902439,81.49268293,81.59512195,81.74634146,..
Belize,74.034,74.219,74.365,74.496,74.623,..
Benin,60.608,60.885,61.174,61.47,61.771,..
Bermuda,81.01219512,81.22707317,81.44195122,81.65170732,81.86658537,..
Bhutan,70.419,70.781,71.129,71.46,71.777,..
Bolivia,70.277,70.626,70.945,71.239,71.513,..
Bosnia and Herzegovina,76.865,76.998,77.128,77.262,77.401,..
Botswana,67.338,68.178,68.812,69.275,69.592,..
Brazil,74.994,75.23,75.456,75.672,75.881,..
British Virgin Islands,..,..,..,..,..,..
Brunei Darussalam,75.318,75.45,75.585,75.722,75.86,..
Bulgaria,74.61463415,74.81219512,74.81463415,74.96341463,74.91463415,..
Burkina Faso,59.919,60.354,60.768,61.174,61.577,..
Burundi,60.123,60.528,60.898,61.247,61.584,..
Cabo Verde,72.117,72.347,72.57,72.782,72.981,..
Cambodia,68.637,68.977,69.289,69.57,69.823,..
Cameroon,57.583,58.063,58.511,58.921,59.292,..
Canada,81.9,81.9,81.9,82.04878049,82.04878049,..
Cayman Islands,..,..,..,..,..,..
Central African Republic,50.881,51.593,52.24,52.805,53.283,..
Chad,53.137,53.438,53.712,53.977,54.239,..
Channel Islands,82.429,82.6,82.766,82.928,83.086,..
